_id,ltable_Id,rtable_Id,ltable_Site name,ltable_Address,ltable_Zip,ltable_Phone,rtable_Site name,rtable_Address,rtable_Zip,rtable_Phone,label
49791,1707,3153,FIRST CHURCH OF LOVE AND FAITH FIRST CHURCH OF LOVE AND FAITH,2140 W 79TH ST ,60620,8739155, First Church of Love and Faith,2140 W 79th Street ,60620,8739155,1
49792,1707,2170,FIRST CHURCH OF LOVE AND FAITH FIRST CHURCH OF LOVE AND FAITH,2140 W 79TH ST ,60620,8739155,First Church of Love And Faith FIRST CHURCH OF LOVE AND FAITH#2,2141 W. 79th St. ,60200,8739155,1
50119,1251,63, Chinese American Service League - Chinese American Service League,2141 S Tan Ct ,,7910418, Chinese American Service League - Chinese American Service League,2141 S Tan Ct ,,7910418,1
50332,3272,3272, St. Vincent De Paul Center,2145 N Halsted Street ,60614,9436776, St. Vincent De Paul Center,2145 N Halsted Street ,60614,9436776,1
50706,1377,1414, Casa Infantil,"2222 N. Kedzie Ave
",60647,7721170,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-ARACELI BASILE,2124 N CENTRAL PARK AVE ,60647,5211600,0
52332,487,66, El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California,2325 S California Ave ,,5231629, El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California,2325 S California Ave ,,5231629,1
52556,3139,487, El Hogar Del Nino Cuidar,2325 S California Avenue ,60608,5231629, El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California,2325 S California Ave ,,5231629,1
52977,2594,2213, Kenyatta's Day Care Center,2334 E. 75th St. ,60649,2213777,Henry Booth House Prodigy Child Learning Center,1921 E. 79th St. ,60649,2213100,0
53024,3192,637, Kenyatta's Day Care,2334 E 75th Street ,60649,2213777, Chicago State University - Kenyatta's Day Care,2334 E 75th ,,2213777,1
53608,71,639, Henry Booth House - Hillard House / Henry Booth,2401 S Wabash Ave ,,7919710, Henry Booth House - Hillard House / Henry Booth,2401 S Wabash Ave ,,7919710,1
54266,3243,640, Our Lady of Tepeyac Early Childhood Center,2414 S Albany Avenue ,60623,2775888, Catholic Charities of the Archdiocese of Chicago - Our Lady of Tepeyac,2414 S Albany Ave ,,2775888,1
54769,1769,1678,HENRY BOOTH HOUSE WEE WEE CENTER FOR CREATIVE,2434 W 71ST STREET ,60629,4710869,EL VALOR YOUNG SCHOLARS DEV. INS.,3038 W 59TH STREET ,60629,9181944,0
54827,2216,2994,Henry Booth House Wee Wee Center for Creative,2434 W 71ST St. ,60629,4710869," Wee Wee Center for Creative Learning, Inc.",2434 W. 71st Street  ,60629,4710869,1
55444,77,1256, Christopher House - Christopher House - Greenview,2507 N Greenview Ave ,,4721083, Christopher House - Christopher House - Greenview,2507 N Greenview Ave ,,4721083,1
55456,302,2114, Christopher House Greenview,2507 N. Greenview ,,4721083,Christopher House Greenview,2507 N. Greenview ,60614,4721083,1
55462,649,649, Christopher House - Christopher House - Greenview,2507 N Greenview Ave ,,4721083, Christopher House - Christopher House - Greenview,2507 N Greenview Ave ,,4721083,1
55550,2419,2895, Christopher House Greenview,2507 N. Greenview ,60614,4721083, Christopher House Greenview,2507 North Greenview  ,60614,4721083,0
55570,2895,2419, Christopher House Greenview,2507 North Greenview  ,60614,4721083, Christopher House Greenview,2507 N. Greenview ,60614,4721083,1
56190,3011,3128, Children's Home and Aid Society - Viva Home Based,"2516 W. Division
",60622,2529100, Consuelo Lee Corretjer Day Care Center,2739 W Division Street ,60622,3428866,0
57058,1537,2447,CHICAGO PUBLIC SCHOOLS LITTLE VILLAGE,2620 S LAWNDALE AVE ,60623,5341880, Crown,2128 S. St. Louis Ave ,60623,5341680,0
57085,1537,1595,CHICAGO PUBLIC SCHOOLS LITTLE VILLAGE,2620 S LAWNDALE AVE ,60623,5341880,CHICAGO PUBLIC SCHOOLS ZAPATA ACADEMY,2728 S KOSTNER AVE ,60623,5341390,0
57744,307,307," Teddy Bear Nursery School, Inc. I",2649 W. 51st Street ,,4760700," Teddy Bear Nursery School, Inc. I",2649 W. 51st Street ,,4760700,1
58117,1190,1259, Gads Hill Center - Sinai Community/Ogden,2653 W Ogden Ave ,,5211196, Gads Hill Center - Sinai Community/Ogden,2653 W Ogden Ave ,,5211196,1
58433,2517,1259, Gads Hill Child Care,2653 W. Ogden ,60608,5211196, Gads Hill Center - Sinai Community/Ogden,2653 W Ogden Ave ,,5211196,1
58890,81,1262, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115,1
58944,660,82, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115, YMCA of Metropolitan Chicago - Rauner,2700 S Western Ave ,,8473115,1
59518,2173,1720,Gads Hill Center Hunt's Early Childhood Educational Academy,2701 W 79th St. ,60652,8638260,GADS HILL CENTER HUNT'S EARLY CHILDHOOD EDUCATIONAL ACADEMY,2701 W 79TH ST ,60652,8638260,1
59878,2038,2359,"Chicago Public Schools McCormick, Cyrus H.",2712 S Sawyer Ave. ,60623,5357252, Cardenas Modular,2406 S. Central Park Ave ,60623,5341475,0
60117,1533,662,"CHICAGO PUBLIC SCHOOLS LAFAYETTE, JEAN DE",2714 W AUGUSTA BLVD ,60622,5344326, Lafayette,2714 W. Augusta Blvd. ,,5344326,1
60628,2089,2561,Chicago Public Schools Zapata Academy,2728 S. Kostner Ave. ,60623,5341390, Henson (Olive),1326 S. Avers Ave ,60623,5341804,0
61344,1866,2216,SALVATION ARMY CREATIVE LITTLE ONES,2809 W 59TH ST ,60629,4762562,Henry Booth House Wee Wee Center for Creative,2434 W 71ST St. ,60629,4710869,0
61792,669,669, Mary Crane League - Mary Crane - West,2820 N Leavitt St ,,3485528, Mary Crane League - Mary Crane - West,2820 N Leavitt St ,,3485528,1
61812,1263,2640, Mary Crane League - Mary Crane - West,2820 N Leavitt St ,,3485528, Mary Crane,2905 N. Leavitt ,60618,3485528,0
62138,3165,1757, Henry Booth Family Rescue,2850 S Michigan Avenue ,60616,9492151,HENRY BOOTH HOUSE LOOP,2001 S MICHIGAN ,60616,2258828,0
63156,1805,3011,LUTHERAN SOCIAL SERVICES OF ILLINOIS TRINIDAD LUTHERAN,2921 W DIVISION ,60622,6354600, Children's Home and Aid Society - Viva Home Based,"2516 W. Division
",60622,2529100,0
63316,89,1759, Henry Booth House - Near South / Henry Booth,2929 S Wabash Ave ,,7910424,HENRY BOOTH HOUSE NEAR SOUTH,2929 S WABASH ,60616,7910424,1
63591,492,2361, Carole Robertson Center For Learning - Carole Robertson Center 2929,2929 W 19th St ,,5211600, Carole Robertson,2929 W. 19th St. ,60623,5211600,1
63629,675,1415, Carole Robertson Center For Learning - Carole Robertson Center 2929,2929 W 19th St ,,5211600,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-AURORA NUNEZ,2701 W 18TH ST ,60608,5211600,0
63996,2361,1651, Carole Robertson,2929 W. 19th St. ,60623,5211600,EL HOGAR DEL NINO FCCH-ISABEL GUITERREZ,3448 W 59TH ST ,60623,4987085,0
64017,2361,2034, Carole Robertson,2929 W. 19th St. ,60623,5211600,"Chicago Public Schools Mason, Roswell B.",4216 W. 19th St ,60623,5341530,0
64209,2881,91, Carole Robertson Center For Learning,2929 West 19th Street  ,60623,5211600, Carole Robertson Center For Learning - Carole Robertson Center 2929,2929 W 19th St ,,5211600,1
64447,3312,675, Carole Robertson Center For Learning,2929 W 19th Street ,60623,5211600, Carole Robertson Center For Learning - Carole Robertson Center 2929,2929 W 19th St ,,5211600,1
64674,94,2641, Mary Crane League - Mary Crane - East,2974 N Clybourn Ave ,,3485528, Mary Crane East 0-3,2974 N. Clybourn ,60618,3485528,1
64832,2238,1350,Mary Crane League Mary Crane Center (East),2974 N. Clybourn ,60618,9388130, Mary Crane League,2974 North Clybourn Avenue,60618,9388157,1
64836,2238,2946,Mary Crane League Mary Crane Center (East),2974 N. Clybourn ,60618,9388130, Mary Crane Center,2974 North Clybourn Avenue  ,60618,9388131,1
65079,1437,2135,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO CHICAGO LAWN,3001 W 59TH ST ,60629,9251085,Easter Seals Society of Metropolitan Chicago Mother's Touch,2501 W 71st St ,60629,4363177,0
65092,1437,1678,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO CHICAGO LAWN,3001 W 59TH ST ,60629,9251085,EL VALOR YOUNG SCHOLARS DEV. INS.,3038 W 59TH STREET ,60629,9181944,0
65098,1437,1831,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO CHICAGO LAWN,3001 W 59TH ST ,60629,9251085,METROPOLITAN FAMILY SERVICES MIDWAY CHILDREN'S CENTER,3215 W 63RD ST ,60629,8842350,0
65168,1931,1721,"Catholic Charities of the
Archdiocese of Chicago Chicago Lawn",3001 W. 59th St. ,60629,9251085,GADS HILL CENTER KOVE LEARNING ACADEMY,3137 W 71ST ST ,60629,4763083,0
65170,1931,1831,"Catholic Charities of the
Archdiocese of Chicago Chicago Lawn",3001 W. 59th St. ,60629,9251085,METROPOLITAN FAMILY SERVICES MIDWAY CHILDREN'S CENTER,3215 W 63RD ST ,60629,8842350,0
66152,3018,3229, A Karrasel Nursery School & Kindergarten,3030 N Kedzie Avenue ,60618,4636151, Mary Crane Family and Day Care Center,2905 N Clybourn Avenue ,60618,3485528,0
66322,95,1678, El Valor - Young Scholars Dev. Ins,3038 W 59th St ,,9181944,EL VALOR YOUNG SCHOLARS DEV. INS.,3038 W 59TH STREET ,60629,9181944,1
66643,96,2858, YMCA of Metropolitan Chicago - South Chicago YMCA,3039 E 91st St ,,7219100, YMCA South Chicago,3039 E. 91st St. ,60617,7219100,1
66906,1009,2552, Healy,3040 S. Parnell ,,5349170, Healy,3040 S. Parnell ,60616,5349170,1
66979,1673,2858,EL VALOR REY GONZALEZ CHILDREN AND FAMILY CENTER,3050 E 92ND ST ,60617,7219311, YMCA South Chicago,3039 E. 91st St. ,60617,7219100,1
66986,1673,3141,EL VALOR REY GONZALEZ CHILDREN AND FAMILY CENTER,3050 E 92ND ST ,60617,7219311, El Valor Rey Gonzalez Child Care,3050 E 92nd Street ,60617,7219311,1
67179,1382,3013,"One Hope United
(Delegate) Bridgeport Child Development Center I","3053 S. Normal Ave.
",60616,8425566, One Hope United - Bridgeport Child Development Center,"3053 South Normal Ave.
",60616,8425566,1
67297,2875,326, Bridgeport Child Development Center,3053 South Normal Avenue  ,60616,8425566, Kids Hope United Bridgeport CDC,3053 S. Normal ,,8425566,1
67413,1371,2716, EHS Home Based Program,"3059 W. Augusta
",60622,4754232, Peabody,1444 W. Augusta ,60622,5344170,0
68077,2584,1013, Jahn,3149 N. Wolcott ,60657,5345500, Jahn,3149 N. Wolcott ,,5345500,1
68470,692,1831, Metropolitan Family Services - Midway Children's Center (Chicago Lawn),3215 W 63rd St ,,8842350,METROPOLITAN FAMILY SERVICES MIDWAY CHILDREN'S CENTER,3215 W 63RD ST ,60629,8842350,1
68657,2658,2659, Metropolitan Family Services,3215 W. 63rd St ,60629,7374790, Metropolitan Family Services 0-3,3215 W. 63rd St ,60629,7374790,1
69055,2620,1536, Linne,3221 N. Sacramento ,60618,5345262,"CHICAGO PUBLIC SCHOOLS LINNE, CARL VON",3221 N SACRAMENTO ,60618,5345262,1
69533,1957,1957,"Chicago Commons
Association Rainbow Daycare",3250 W Irving Park Rd ,60618,4788182,"Chicago Commons
Association Rainbow Daycare",3250 W Irving Park Rd ,60618,4788182,1
69553,497,497, YMCA of Metropolitan Chicago - YMCA - Marshall High School,3250 W Adams St ,,2650022, YMCA of Metropolitan Chicago - YMCA - Marshall High School,3250 W Adams St ,,2650022,1
72010,336,2967, Pathways to Learning,3416 ? -18 W. 79th Street ,,4369244, Pathways to Learning Child Care Center,3450-54 West 79th Street  ,60652,4369244,1
72018,2715,1615, Pathways to Learning,3416 W. 79th St. ,60652,4369244,CHICAGO YOUTH CENTERS PATHWAYS TO LEARNING CC,3418 W 79TH ST ,60652,7765439,0
72876,1584,2078,"CHICAGO PUBLIC SCHOOLS STOWE, HARRIET BEECHER",3444 W WABANSIA ,60647,5344175,"Chicago Public Schools Stowe, Harriet Beecher",3444 W. Wabansia ,60647,5344175,1
73015,2797,2797, Stowe (Blended),3444 W. Wabansia ,60647,5344175, Stowe (Blended),3444 W. Wabansia ,60647,5344175,1
73126,111,112, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,1
73145,112,339, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773, YMCA North Lawndale,3449 W. Arthington ,,6380773,1
73176,339,2955, YMCA North Lawndale,3449 W. Arthington ,,6380773, North Lawndale YMCA,3449 W. Arthington  ,60624,6380773,1
73209,499,2287, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,YMCA of Metropolitan Chicago North Lawndale,3449 W. Arthington ,60624,6380773,1
73309,1270,499, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,1
73373,1899,1270,YMCA OF METROPOLITAN CHICAGO NORTH LAWNDALE,3449 W ARTHINGTON ,60624,6380773, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,1
73522,2856,1198, YMCA North Lawndale,3449 W. Arthington ,60624,6380773, YMCA of Metropolitan Chicago - North Lawndale YMCA,3449 W Arthington St ,,6380773,1
73834,3334,2955, YMCA North Lawndale,3449 W Arthington Street ,60624,6380773, North Lawndale YMCA,3449 W. Arthington  ,60624,6380773,1
73875,1616,1418,CHICAGO YOUTH CENTERS PATHWAYS TO LEARNING CC1,3460 W 79TH ST ,60652,4369244,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-ILEANA GONZALEZ,4250 W 81ST ST ,60652,5211600,0
73940,340,2967, Pathways to Learning I/T,3450-54 W. 79th St ,,4369244, Pathways to Learning Child Care Center,3450-54 West 79th Street  ,60652,4369244,1
73981,341,341," Teddy Bear Nursery School, Inc. II",3473 W. Columbus ,,2842141," Teddy Bear Nursery School, Inc. II",3473 W. Columbus ,,2842141,1
74347,2029,1574,Chicago Public Schools Lawndale Comm. Academy,3500 W. Douglas Blvd ,60623,5341635,"CHICAGO PUBLIC SCHOOLS SAUCEDO SCHOLASTIC ACADEMY, MARIA",2850 W 24 TH BLVD ,60623,5341770,0
74467,2613,711, Lawndale,3500 W. Douglas ,60623,5341635, Lawndale,3500 W. Douglas ,,5341635,1
75915,1994,1994,"Chicago Public Schools Dvorak Math & Science Tech
Academy, Anton",3615 West 16th ,60623,5341690,"Chicago Public Schools Dvorak Math & Science Tech
Academy, Anton",3615 West 16th ,60623,5341690,1
77034,116,347, Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701,3701 W Ogden Ave ,,5228400, Carole Robertson Center Jubilee,3701 W. Ogden ,,5228400,1
77066,347,1929, Carole Robertson Center Jubilee,3701 W. Ogden ,,5228400,"Carole Robertson Center
For Learning Carole Robertson Center -
3701(OGDEN)",3701 W. Ogden ,60623,5228400,1
77086,502,347, Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701,3701 W Ogden Ave ,,5228400, Carole Robertson Center Jubilee,3701 W. Ogden ,,5228400,1
77103,719,720, Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701,3701 W Ogden Ave ,,5228400, Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701,3701 W Ogden Ave ,,5228400,1
77108,719,3311, Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701,3701 W Ogden Ave ,,5228400, Carole Robertson Center For Learning,3701 W Ogden Avenue ,60623,5228400,1
77304,1929,3050,"Carole Robertson Center
For Learning Carole Robertson Center -
3701(OGDEN)",3701 W. Ogden ,60623,5228400, Boys & Girls Clubs of Chicago - Ida Mae Fletcher,3140 W Ogden Avenue ,60623,7627383,0
77326,1929,2363,"Carole Robertson Center
For Learning Carole Robertson Center -
3701(OGDEN)",3701 W. Ogden ,60623,5228400, Carole Robertson Jubilee,3701 W. Ogden ,60623,5211680,1
77832,3311,2311, Carole Robertson Center For Learning,3701 W Ogden Avenue ,60623,5228400, B & G Ida Mae Fletcher,3140 W Ogden ,60623,8475172,0
77921,1952,1716,"Chicago Commons
Association Los Pequenos Angelitos",3711 W 55th St ,60632,7355827,GADS HILL CENTER FCCH-MARIA PADRON,3754 W 55TH ST ,60632,8388760,0
78360,2522,2310, Gary,3740 W. 31St St. ,60623,5341455, B & G Club General R.E. Wood,2950 W. 25th St ,60623,7627383,0
78424,2522,1928, Gary,3740 W. 31St St. ,60623,5341455,"Carole Robertson Center
For Learning Carole  Robertson Center-2929",2929 W. 19th St. ,60623,5211600,0
78524,1903,1903,YMCA OF METROPOLITAN CHICAGO WABASH,3763 S WABASH AVE ,60653,2850020,YMCA OF METROPOLITAN CHICAGO WABASH,3763 S WABASH AVE ,60653,2850020,1
78600,2291,3270,YMCA of Metropolitan Chicago Wabash,3763 S. Wabash Ave. ,60653,2850020, St. Paul-Chaney Ford Child Care,4528 S Wabash Avenue ,60653,2858721,0
78804,2465,2465, Disney Magnet,3815 N. Kedvale Ave. ,60613,5345840, Disney Magnet,3815 N. Kedvale Ave. ,60613,5345840,1
80188,2455,204, Delano,3905 W. Wilcox ,60624,5346450, Delano CPC,3905 W. Wilcox ,,5346450,1
80522,3078,1274, Centers for New Horizons - Edison Hoard,3948 S State ,60609,5362187, Centers For New Horizons - Edison L. Hoard Learning Center,3901 S State St ,,5362187,0
80528,3078,3078, Centers for New Horizons - Edison Hoard,3948 S State ,60609,5362187, Centers for New Horizons - Edison Hoard,3948 S State ,60609,5362187,1
80671,1863,1941,SALVATION ARMY ALL THINGS ARE POSIBLE,4014 W CHICAGO AVE ,60651,4892464,"Chicago Commons
Association Betty's Daycare Academy",5725 W Chicago Ave ,60651,2611433,0
80908,3159,121, Grant AME Church Day Care Center,4025 S Drexel Boulevard ,60653,2858440, Grant Creative Learning Center - Grant Day Care Center,4025 S Drexel St ,,2858440,1
81144,2693,2693, Northwest Institute,4040 W. Division ,60651,2788261, Northwest Institute,4040 W. Division ,60651,2788261,1
81168,2693,2122, Northwest Institute,4040 W. Division ,60651,2788261,Easter Seals Society of Metropolitan Chicago Channings Child Care,5701 W Division St ,60651,4572990,0
81227,205,206, Hansberry CPC,4055 W. Arthington ,,5346931, Hansberry CPC,4055 W. Arthington ,,5346931,1
81653,1693,1693,ERIE NEIGHBORHOOD HOUSE FCCH-MARIA MAHECHA SITE,4151 W LAWRENCE ,60630,4322213,ERIE NEIGHBORHOOD HOUSE FCCH-MARIA MAHECHA SITE,4151 W LAWRENCE ,60630,4322213,1
81669,2762,2762, Scammon,4201 W. Henderson ,60641,5343475, Scammon,4201 W. Henderson ,60641,5343475,1
81710,3019,1861, A Step Ahead Day Care Center,4208 N Broadway Street 10 ,60612,4048664,ONWARD NEIGHBORHOOD HOUSE ONWARD NEIGHBORHOOD HOUSE - WEST TOWN,600 N LEAVITT STREET ,60612,6666726,0
81764,358,3028, Abraham Lincoln Center Near South,4210 S. Berkley ,,4513360, Abraham Lincoln Centre - Berkley Center,4210 S Berkeley Avenue ,60653,4513360,1
82030,1540,2310,"CHICAGO PUBLIC SCHOOLS MASON, ROSWELL B.",4216 W 19TH ST ,60623,5341530, B & G Club General R.E. Wood,2950 W. 25th St ,60623,7627383,0
82031,1540,731,"CHICAGO PUBLIC SCHOOLS MASON, ROSWELL B.",4216 W 19TH ST ,60623,5341530, Mason,4217 W. 18Th St. ,,5341530,0
82034,1540,905,"CHICAGO PUBLIC SCHOOLS MASON, ROSWELL B.",4216 W 19TH ST ,60623,5341530, Mason,4217 W. 18Th St. ,,5341530,0
82943,2575,2034," Hughes, C.",4247 W. 15Th St. ,60623,5341762,"Chicago Public Schools Mason, Roswell B.",4216 W. 19th St ,60623,5341530,0
82946,2575,2575," Hughes, C.",4247 W. 15Th St. ,60623,5341762," Hughes, C.",4247 W. 15Th St. ,60623,5341762,1
83180,1045,2338, Brennemann,4251 N. Clarendon ,,5345766, Brennemann,4251 N. Clarendon ,60613,5345766,1
83204,361,2264, Salvation Army New Hope,4255 W. Division ,,7724908,Salvation Army New Hope,4255 W. Division ,60651,7724908,1
83210,1275,122, Salvation Army - New Hope / Salvation Army,4255 W Division St ,,7224908, Salvation Army - New Hope / Salvation Army,4255 W Division St ,,7224908,1
83477,2755,2264, Salvation Army New Hope,4255 W. Division  ,60651,7724908,Salvation Army New Hope,4255 W. Division ,60651,7724908,1
83610,736,2006, Goldblatt,4257 W. Adams ,,5346860,"Chicago Public Schools Goldblatt, Nathan R.",4257 W. Adams ,60624,5346860,1
84037,2934,362, Korean American Community Services ,4300 North California Ave.  ,60618,5838281, Korean American Community Services,4300 N. California ,,5838281,1
84098,3217,3217, Lydia Home Association - Lydia Learn and Care,4300 W Irving Park Road ,60641,7361447, Lydia Home Association - Lydia Learn and Care,4300 W Irving Park Road ,60641,7361447,1
84205,1443,1912,CENTERS FOR NEW HORIZONS EFFIE ELLIS,4301 S COTTAGE GROVE ,60653,5489839,"Ada S. McKinley
Community Services McKinley-Maggie Drummond",4301 S. Wabash ,60653,3738200,0
84287,3009,2063, Centers for New Horizons - Effie Ellis II Center,"4301 S. Cottage Grove Ave 
",60653,5489839,"Chicago Public Schools Robinson, Jackie R.",4225 S. Lake Park Ave. ,60653,5351777,0
84289,3009,363, Centers for New Horizons - Effie Ellis II Center,"4301 S. Cottage Grove Ave 
",60653,5489839, Centers for New Horizons Effie O. Ellis,4301 S. Cottage Grove ,,5489839,1
84475,1906,3029,Abraham Lincoln Center Lincoln/King,4314 S. Cottage Grove ,60653,7472310, Abraham Lincoln Centre - Lincoln/King,4314 S Cottage Grove Avenue ,60653,7472310,1
84700,2799,2799, Sumner,4320 W. Fifth Ave ,60624,5346730, Sumner,4320 W. Fifth Ave ,60624,5346730,1
84839,1051,2553, Hearst,4340 S. Lamon ,,5352376, Hearst,4640 S. Lamon ,60638,5352376,0
84928,1745,1745,HENRY BOOTH HOUSE JONES ACADEMY,4344 S WENTWORTH AVE ,60609,5363757,HENRY BOOTH HOUSE JONES ACADEMY,4344 S WENTWORTH AVE ,60609,5363757,1
85072,1052,1052, Hefferan,4409 W. Wilcox St ,,5346192, Hefferan,4409 W. Wilcox St ,,5346192,1
85153,1280,1280, Hull House Association - Leclaire-Ryder Day Care / Hull House,4410 S Laporte Ave ,,7675170, Hull House Association - Leclaire-Ryder Day Care / Hull House,4410 S Laporte Ave ,,7675170,1
85294,1592,2086,"CHICAGO PUBLIC SCHOOLS WOODSON SOUTH, CARTER G.",4414 S EVANS ,60653,5351280,"Chicago Public Schools Woodson South, Carter G.",44511 S. Evans ,60653,5351822,0
85909,371,1663, Kiddy Kare Preschools Kiddy Kare I,4444 S. Kedzie ,,2476642,EL VALOR KIDDY KARE LEARNING CENTER,4444 S KEDZIE ,60632,2476642,1
85933,1663,1456,EL VALOR KIDDY KARE LEARNING CENTER,4444 S KEDZIE ,60632,2476642,CHICAGO COMMONS ASSOCIATION KIDDIE GARDEN LITTLE ANGELS,4235 S KEDZIE AVE ,60632,3928199,0
85986,2147,1663,El Valor Kiddy Kare Learning Center,4444 S. Kedzie ,60632,2476642,EL VALOR KIDDY KARE LEARNING CENTER,4444 S KEDZIE ,60632,2476642,1
87057,2832,1326, Waters,4540 N. Campbell ,60625,5345090, Waters,4540 N. Campbell ,,5345090,1
87245,1713,2805,GADS HILL CENTER FCCH-LUZ OROZCO SITE,4546 W 67TH ST ,60632,2511196, Teddy Bear 1,2649 W. 51st St ,60632,4760700,0
87361,1575,1429,"CHICAGO PUBLIC SCHOOLS SEWARD, WILLIAM H.",4600 S HERMITAGE AVE ,60609,5354890,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-PATRICIA HERNANDEZ,4958 S RACINE AVE ,60609,5381198,0
87626,2765,2069, Seward,4600 S. Hermitage ,60609,5354890,"Chicago Public Schools Seward, William H.",4600 S Hermitage Ave. ,60609,5354890,1
87629,2765,3093, Seward,4600 S. Hermitage ,60609,5354890, Chicago Commons Association New City,4600 S McDowell ,60609,3761657,1
87656,2765,1508, Seward,4600 S. Hermitage ,60609,5354890,"CHICAGO PUBLIC SCHOOLS FULTON, ROBERT",5300 S HERMITAGE ,60609,5359000,0
87986,1207,3152, Firman Community Services - Firman House II SA (21st Century CLC),4644 S Dearborn St ,,3733400, Firman Community Services - School Age Program,4644 S Dearborn Street ,60609,3733400,1
88309,375,375, Home of Life Just for You,4647 W. Washington ,,6268655, Home of Life Just for You,4647 W. Washington ,,6268655,1
88931,2572,376, Home of Life Just For You,4650 W. Madison ,60644,6268655, Home of Life II,4650 W. Madison ,,6268655,1
89173,377,2423, Christopher House Uptown,4701 N. Winthrop ,,7694540, Christopher House Uptown,4701 N. Winthorp ,60640,7694540,1
89320,2117,1284,Christopher House Uptown,4701 N. Winthrop ,60640,7694540, Christopher House - Christopher House - Uptown,4701 N Winthrop Ave ,,7694540,1
90132,2655,2796, McPherson,4728 N. Wolcott Ave ,60640,5342625, Stockton CPC Br.,4425 N. Magnolia Ave ,60640,5342510,0
90926,137,1441, Catholic Charities of the Archdiocese of Chicago - St. Joseph,4800 S Paulina St ,,9272524,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO ST. JOSEPH,4800 S PAULINA ,60609,9272524,1
91442,1502,1949,"CHICAGO PUBLIC SCHOOLS EDWARDS, RICHARD",4815 S KARLOV AVE ,60632,5354875,"Chicago Commons
Association Kiddie Garden Little Angels",4235 S Kedzie Ave ,60632,3928199,0
91926,2675,2675, Nash,4837 W. Erie ,60644,5346125, Nash,4837 W. Erie ,60644,5346125,1
92610,2970,384, Ravenswood Community Child Care Center,4908 North Damen Avenue  ,60625,2714495, Ravenswood Community Child Care,4908 N. Damen ,,2714495,1
93126,385,1213, Firman Pre-School East,4910 S. DR MARTIN LUTHER KING JRDrive ,,3732083, Firman Community Services - Firman House East,4910 S Dr. Martin Luther King Dr ,,3732083,1
93210,2166,766,Firman Community Services Firman House East,4910 S. King ,60615,3732083, Firman Community Services - Firman House East,4910 S Dr. Martin Luther King Dr ,,3732083,1
93281,2507,1973, Firman Community Svcs East,4910 S. King Drive ,60615,3733400,"Chicago Public Schools Burke, Edmond",5356 S. King Dr ,60615,5351325,0
93566,3212,2570, Lutheran Family Mission Family Center,4920 W Madison Street ,60644,2872921, Home of Life II,4650 W. Madison ,60644,6268655,0
93666,2707,2707, Overton CPC,4935 S. Indiana ,60615,5351811, Overton CPC,4935 S. Indiana ,60615,5351811,1
93823,1725,1630,HEALING TEMPLE FCCH-EARNESTINE MOORE,4941 W CHICAGO AVE ,60651,2876964,"DOUGLASS-TUBMAN YOUTH MINISTRIES,INC. DOUGLASS-TUBMAN CHILD DEV CTR",5010 W CHICAGO AVE ,60651,6266581,0
93998,2178,3089,Healing Temple Healing Temple,4941 W. Chicago ,60651,2876964, Chicago Commons,3645 W Chicago Avenue ,60651,6385600,0
94415,1630,1379,"DOUGLASS-TUBMAN YOUTH MINISTRIES,INC. DOUGLASS-TUBMAN CHILD DEV CTR",5010 W CHICAGO AVE ,60651,6266581," Munoz Marin-Lowell Early Childhood Center
","3320 W. Evergreen Ave
",60651,7828459,0
94617,1068,1492, Daley,5024 S. Wolcott ,,5359091,"CHICAGO PUBLIC SCHOOLS DALEY, RICHARD J.",5024 S WOLCOTT AVE ,60609,5359091,1
