Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
3183,purple_binder_early_childhood.csv, Irving Park Early Learning Center,3023 W Montrose Avenue ,60618,5397422,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
651,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Logan Square,2610 N Francisco Ave ,,2354073,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
355,CPS_Early_Childhood_Portal_scrape.csv, Frazier Preparatory Academy,4027 W. Grenshaw ,,5358653,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
2128,DFSS_AgencySiteLies_2012.csv,Easter Seals Society of Metropolitan Chicago Fresh Start Day Care Center,6924 W. North Avenue ,60635,4792870,,,,,,,Easter Seals Society of Metropolitan Chicago,,,,,,,,,,,www.easterseaslchicago.org,Barbara Zawacki,Claudia Aguayo ,,,,,,
1409,chapin_dfss_providers_2011_070212.csv,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO TRUMAN COLLEGE,1145 W WILSON AVE ,60640,8784740,,,,,,,BOARD TRUSTEES-CITY COLLEGES OF CHICAGO,UPTOWN,,,,,Judi Gibian-Mennenga,Yes,No,No,"7099PS(HS Collaboration with Childcare & PreK), 4386PS(Child",,,,,,,,,
1039,CPS_Early_Childhood_Portal_scrape.csv, Nobel,4127 W. Hirsch ,,5344365,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
264,CPS_Early_Childhood_Portal_scrape.csv, Children?s Place Family Center,1800 N. Humboldt Blvd. ,,,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1239,CPS_Early_Childhood_Portal_scrape.csv, Abraham Lincoln Centre - Hope Presbyterian Church,1354 W 61st St ,,4715100,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2058,DFSS_AgencySiteLies_2012.csv,"Chicago Public Schools Piccolo Specialty School, Brian",1040 N. Keeler Avenue ,60651,5344425,,,,,,,Chicago Public Schools,,,,,,,,,,,www.cps.edu,Paula Cottone,Ms. Tiffany S. Allison,,,,,,
2306,ECE Chicago Find a School scrape.csv, Audubon,3500 N. Hoyne ,60618,5345470,,,,,,North Center,,,,,,,,,,,,,PFA-REG TS,,,,,,,
1676,chapin_dfss_providers_2011_070212.csv,EL VALOR TEDDY BEAR 3 (6401 S PULASKI RD),6401 S PULASKI ,60629,2842292,,,,,,,EL VALOR,WEST LAWN,,,,,Natasha Catchings,Yes,No,No,,,,,,,,,,
3112,purple_binder_early_childhood.csv, ChildServ - St Matthew Head Start,1000 N Orleans Street ,60610,9443403,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
2587,ECE Chicago Find a School scrape.csv, Johnson,1420 S. Albany ,60623,5341829,,,,,,North Lawndale,,,,,,,,,,,,,HS-HD,,,,,,,
661,CPS_Early_Childhood_Portal_scrape.csv, Williams,2710 S.Dearborn ,,5349245,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,
873,CPS_Early_Childhood_Portal_scrape.csv, Ryder,8716 S. Wallace ,,5353843,,Head Start,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
1737,chapin_dfss_providers_2011_070212.csv,HENRY BOOTH HOUSE COLOR FOR TOTS,2550 E 73RD ST ,60649,3638687,,,,,,,HENRY BOOTH HOUSE,SOUTH SHORE,,,,,Cassandra Williams,Yes,No,No,,,,,,,,,,
1501,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS EBERHART, JOHN F.",3400 W 65TH PL ,60629,5359190,,,,,,,CHICAGO PUBLIC SCHOOLS,CHICAGO LAWN,,,,,Nneka Gunn,Yes,No,No,,,,,,,,,,
329,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life Bethel Child Development,316 N. Pulaski ,,2653830,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
2606,ECE Chicago Find a School scrape.csv, Kohn,10414 S. State  ,60628,5355489,,,,,,Roseland,,,,,,,,,,,,,HS-HD,,,,,,,
1175,CPS_Early_Childhood_Portal_scrape.csv, Chicago Commons Association - Guadalupano Family Center,1814 S Paulina St ,,6663883,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
249,CPS_Early_Childhood_Portal_scrape.csv, Catholic Charities - Our Lady of Lourdes,1449 S. Keeler ,,5213126,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1042,CPS_Early_Childhood_Portal_scrape.csv, Bateman,4220 N. Richmond ,,5345055,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
2667,ECE Chicago Find a School scrape.csv, Morton,431 N. Troy ,60612,5346791,,,,,,Humboldt Park,,,,,,,,,,,,,HS-HD,,,,,,,
2346,ECE Chicago Find a School scrape.csv, Brunson,932 N. Central Av ,60651,5346025,,,,,,Austin,,,,,,,,,,,,,HS-HD,,,,,,,
278,CPS_Early_Childhood_Portal_scrape.csv, Carole Robertson Center Roosevelt,2020 W. Roosevelt ,,2434881,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1243,CPS_Early_Childhood_Portal_scrape.csv, Marcy Newberry Association - Marcy Center,1539 S Springfield Ave ,,7612300,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2521,ECE Chicago Find a School scrape.csv, Gallistel,10347 S. Ewing Ave. ,60617,5356540,,,,,,East Side,,,,,,,,,,,,,PFA-REG TS,,,,,,,
2422,ECE Chicago Find a School scrape.csv, Christopher House Palmer Sq,2140 N. Richmond ,60647,7728693,,,,,,Logan Square,,,,,,,,,,,,,CP,,,,,,,
1599,chapin_dfss_providers_2011_070212.csv,CHICAGO STATE UNIVERSITY RAISE UP A CHILD,124 E 113 ST ,60628,7851172,,,,,,,CHICAGO STATE UNIVERSITY,ROSELAND,,,,,,Yes,Yes,Yes,"4138PS(Child Care PS Center), 4134PS(HS Collaboration with C",,,,,,,,,
1168,CPS_Early_Childhood_Portal_scrape.csv, Erie Neighborhood House - Erie House,1347 W Erie St ,,6663460,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1575,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS SEWARD, WILLIAM H.",4600 S HERMITAGE AVE ,60609,5354890,,,,,,,CHICAGO PUBLIC SCHOOLS,NEW CITY,,,,,Marcey Reyes,Yes,No,No,,,,,,,,,,
2268,DFSS_AgencySiteLies_2012.csv,South Central Community Services South Central Community Service,8316 S. Ellis Ave. ,60618,4830900,,,,,,,South Central Community Services,,,,,,,,,,,www.sccsinc.org,Felicia Blasingame,Marsha Hightower,,,,,,
202,CPS_Early_Childhood_Portal_scrape.csv, Ferguson CPC,1420 N. Hudson ,,5348580,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
1880,chapin_dfss_providers_2011_070212.csv,SOUTH CENTRAL COMMUNITY SERVICES SOUTH CENTRAL COMMUNITY SERVICE,8316 S ELLIS AVE ,60619,4830900,,,,,,,SOUTH CENTRAL COMMUNITY SERVICES,CHATHAM,,,,,Marsha Hightower,Yes,No,No,,,,,,,,,,
174,CPS_Early_Childhood_Portal_scrape.csv, South Shore United Methodist - South Shore United,7350 S Jeffery Blvd ,,3244430,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1138,CPS_Early_Childhood_Portal_scrape.csv, Greeley,832 W. Sheridan ,,5345800,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
703,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Pathway,3418 W 79th St ,,7765439,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1912,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services McKinley-Maggie Drummond",4301 S. Wabash ,60653,3738200,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Lyris Clark,,,,,,
1864,chapin_dfss_providers_2011_070212.csv,SALVATION ARMY BUILDING BLOCKS,1120 W 69TH ST ,60621,4882222,,,,,,,SALVATION ARMY,ENGLEWOOD,,,,,Mitchelle Redd,Yes,No,No,,,,,,,,,,
2517,ECE Chicago Find a School scrape.csv, Gads Hill Child Care,2653 W. Ogden ,60608,5211196,,,,,,North Lawndale,,,,,,,,,,,,,CP,,,,,,,
2024,DFSS_AgencySiteLies_2012.csv,"Chicago Public Schools Jungman, Joseph",1746 S. Miller ,60608,5347375,,,,,,,Chicago Public Schools,,,,,,,,,,,www.cps.edu,Paula Cottone,Mrs. Zaida Hernandez,,,,,,
997,CPS_Early_Childhood_Portal_scrape.csv, McKinley Park,2744 W. Pershing Rd ,,5533661,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
562,CPS_Early_Childhood_Portal_scrape.csv, Henry Booth House - Taylor Day School,1414 W 87th St ,,2392322,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1413,chapin_dfss_providers_2011_070212.csv,CAROLE ROBERTSON CENTER FOR LEARNING FCCH-ANGELITA YUGSI,6447 S KNOX AVE ,60629,5211600,,,,,,,CAROLE ROBERTSON CENTER FOR LEARNING,CLEARING,,,,,Jolene Martin,Yes,No,No,"5931PS(HS Collaboration with Childcare Homes), 5931IP(EHS Co",,,,,,,,,
2548,ECE Chicago Find a School scrape.csv, Harvard,7525 S. Harvard ,60620,5353045,,,,,,Greater Grand Crossing,,,,,,,,,,,,,PFA-REG,,,,,,,
199,CPS_Early_Childhood_Portal_scrape.csv, Von Humboldt CPC,1345 N. Rockwell ,,5344668,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
1971,DFSS_AgencySiteLies_2012.csv,"Chicago Public Schools Brown, Ronald",12607 S Union ,60628,5355385,,,,,,,Chicago Public Schools,,,,,,,,,,,www.cps.edu,Paula Cottone,Ms. Gale Baker,,,,,,
867,CPS_Early_Childhood_Portal_scrape.csv, Christopher House - Christopher House - Lakeshore,850 W Eastwood Ave ,,2719403,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
74,CPS_Early_Childhood_Portal_scrape.csv, YMCA of Metropolitan Chicago - High Ridge YMCA,2424 W Touhy Ave ,,2628300,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
2725,ECE Chicago Find a School scrape.csv, Pilsen,1420 W. 17Th St. ,60608,5347675,,,,,,Lower West Side,,,,,,,,,,,,,HS-HD,,,,,,,
2970,NAEYC_accreditation.csv, Ravenswood Community Child Care Center,4908 North Damen Avenue  ,60625,2714495,,,,,,,,,,,,,,,,,,http://rc4cares.com,,,,09/30/12,600291,directorrc4cares@gmail.com,,
930,CPS_Early_Childhood_Portal_scrape.csv, LaSalle/Andersen,1148 N. Honore ,,5344276,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
901,CPS_Early_Childhood_Portal_scrape.csv, South Loop,1212 S. Plymouth ,,5348690,,Head Start/Prekindergarten For,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
2742,ECE Chicago Find a School scrape.csv, Reinberg,3425 N. Major ,60634,5343465,,,,,,Portage Park,,,,,,,,,,,,,PFA-REG,,,,,,,
1503,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS ELLINGTON, EDWARD ""DUKE"" K.",243 NORTH PARKSIDE ,60644,5346361,,,,,,,CHICAGO PUBLIC SCHOOLS,AUSTIN,,,,,Ms. Shirley M.  Scott,Yes,No,No,,,,,,,,,,
521,CPS_Early_Childhood_Portal_scrape.csv, Piccolo,1040 N. Keeler ,,5344425,,Head Start,5-6 hours,,,,,,,,,,,,,,,,,,,,,,,
204,CPS_Early_Childhood_Portal_scrape.csv, Delano CPC,3905 W. Wilcox ,,5346450,,Child Parent Center,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
1877,chapin_dfss_providers_2011_070212.csv,SALVATION ARMY SOUTH SHORE BIBLE/MARANATHA HEAD START,1631 E 71ST ST ,60649,4937500,,,,,,,SALVATION ARMY,SOUTH SHORE,,,,,Jaqueline Carter,Yes,No,No,4380PS(HS Collaboration with Childcare),,,,,,,,,
2278,DFSS_AgencySiteLies_2012.csv,Westside Holistic Family Services WESTSIDE HOLISTIC FAMILY SERVICES,4909 W. Division ,60651,9218777,,,,,,,Westside Holistic Family Services,,,,,,,,,,,,Jo Anne Anderson,Florence Merritt,,,,,,
1376,chapin_ounce_providers_2011_071112.csv, Adolescent Parenting Program (APP) ,"1335 N. California Ave
",60622,6452300,,,,,,,,Home Based,"--
",24,,,,,,,,,,,,,,,,
84,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - The Keeper's Inst.,2718 W 59th St ,,,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1222,CPS_Early_Childhood_Portal_scrape.csv, Woodlawn A.M.E. Church - Woodlawn A.M.E.,6456 S Evans Ave ,,6671402,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2712,ECE Chicago Find a School scrape.csv, Parker CPC,328 W. 69Th  ,60621,5353853,,,,,,Englewood,,,,,,,,,,,,,CPC-FD,,,,,,,
224,CPS_Early_Childhood_Portal_scrape.csv, Children?s Developmental Institute MP,10928 S. Halsted St. ,,9950600,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
2524,ECE Chicago Find a School scrape.csv, Goethe,2236 N. Rockwell ,60647,5344135,,,,,,Logan Square,,,,,,,,,,,,,PFA-REG,,,,,,,
1539,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS MADISON, JAMES",7433 S DORCHESTER ,60619,5350551,,,,,,,CHICAGO PUBLIC SCHOOLS,SOUTH SHORE,,,,,Dr. Beverly J.  Greene,Yes,No,No,,,,,,,,,,
2936,NAEYC_accreditation.csv, Lincoln Park Cooperative Nursery School,1753 North Fern Court  ,60614,9445469,,,,,,,,,,,,,,,,,,http://www.lincolnparkcoop.org,,,,07/31/14,299156,admin@lincolnparkcoop.org,,
1012,CPS_Early_Childhood_Portal_scrape.csv, Cleveland,3121 W. Byron ,,5345130,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
2050,DFSS_AgencySiteLies_2012.csv,Chicago Public Schools Nicholson Math and Science,6006 S Peoria St ,60621,5353285,,,,,,,Chicago Public Schools,,,,,,,,,,,www.cps.edu,Paula Cottone,Mr. Rodney L. Hull,,,,,,
3098,purple_binder_early_childhood.csv, Chicago Urban Day School,1248 W 69th Street ,60636,4833555,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
2661,ECE Chicago Find a School scrape.csv, Mitchell,2233 W. Ohio ,60612,5347655,,,,,,West Town,,,,,,,,,,,,,PFA-REG,,,,,,,
3318,purple_binder_early_childhood.csv, Firman Community Services - Early Beginnings,4705 S State Street ,60609,,,,,,,,,,,,,,,,,,,,,,,,,,,Early Head Start
1356,IDHS_child_care_provider_list.csv," Ounce of Prevention Fund, Inc.","33 West Monroe Street, Suite 2400",60603,9223863,"(312)
922-3337",,,3985-7887-5433-003,,,,,,,,,,,,,,,,,,,,,,
2685,ECE Chicago Find a School scrape.csv, Nightingale,5250 S. Rockwell ,60632,5359270,,,,,,Gage Park,,,,,,,,,,,,,PFA-REG,,,,,,,
425,CPS_Early_Childhood_Portal_scrape.csv, Little Angels Family Daycare,6701 S. Emerald ,,3703688,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
1448,chapin_dfss_providers_2011_070212.csv,CHICAGO COMMONS ASSOCIATION CHICAGO URBAN DAYCARE,1248 W 69TH ST ,60636,4833555,,,,,,,CHICAGO COMMONS ASSOCIATION,WEST ENGLEWOOD,,,,,,Yes,No,No,,,,,,,,,,
1872,chapin_dfss_providers_2011_070212.csv,SALVATION ARMY FCCH-MILDRED SPEARS,6749 S WINCHESTER ,60636,9301832,,,,,,,SALVATION ARMY,WEST ENGLEWOOD,,,,,Kelli Kemp,No,No,No,"6107IP(EHS Collaboration Enhanced Home IP), 6107IT(EHS Enhan",,,,,,,,,
1233,CPS_Early_Childhood_Portal_scrape.csv, Bethel New Life - Molade Child Development Center,1120 N Lamon Ave ,,6267760,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2409,ECE Chicago Find a School scrape.csv, Children's Place Family Center,1800 N. Humboldt ,60622,3959193,,,,,,Logan Square,,,,,,,,,,,,,CP,,,,,,,
3202,purple_binder_early_childhood.csv, Lake Shore School,5611 N Clark Street ,60660,5616707,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
106,CPS_Early_Childhood_Portal_scrape.csv, Chicago State University - Professional Playhouse,338 E 103rd ,,5680728,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
780,CPS_Early_Childhood_Portal_scrape.csv, Trinity United Church of Christ - Trinity United,532 W 95th St ,,4883511,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2718,ECE Chicago Find a School scrape.csv, Peirce,1423 W. Bryn Mawr ,60660,5342440,,,,,,Edgewater,,,,,,,,,,,,,PFA-REG,,,,,,,
1001,CPS_Early_Childhood_Portal_scrape.csv, Locke,2828 N. Oak Park Ave ,,5343300,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
2889,NAEYC_accreditation.csv, Chicago Commons Taylor Center for New Experiences,1633 North Hamlin Avenue  ,60647,2278551,,,,,,,,,,,,,,,,,,http://chicagocommons.org,,,,08/31/14,283654,powellv@chicagocommons.org,,
2119,DFSS_AgencySiteLies_2012.csv,Community Learning Center Community Learning Center,10612 S. Wentworth ,60628,9284104,,,,,,,Community Learning Center,,,,,,,,,,,,Wanda Avery,Wanda Avery,,,,,,
1203,CPS_Early_Childhood_Portal_scrape.csv, Korean American Community Services - Korean American Community Services,4300 N California Ave ,,5838281,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3332,purple_binder_early_childhood.csv, YMCA Garfield,7 N Homan Avenue ,60624,2653900,,,,,,,,,,,,,,,,,,,,,,,,,,Early Head Start
516,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
2504,ECE Chicago Find a School scrape.csv, Farragut,2345 S. Christiana ,60623,5341300,,,,,,South Lawndale,,,,,,,,,,,,,PFA-REG,,,,,,,
865,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Family Outreach Initiative (Sal Army),845 W 69th St ,,8324700,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1782,chapin_dfss_providers_2011_070212.csv,HULL HOUSE ASSOCIATION FCCH-MONICA PIERCE,1644 S AVERS ST ,60623,2355342,,,,,,,HULL HOUSE ASSOCIATION,NORTH LAWNDALE,,,,,Etisha Wofford,No,Yes,No,"5743IP(EHS Collaboration Enhanced Home IP), 5942IT(Child Car",,,,,,,,,
1085,CPS_Early_Childhood_Portal_scrape.csv, Hitch,5625 N. Mcvicker ,,5341189,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
1151,CPS_Early_Childhood_Portal_scrape.csv," Jackson, M.",917 W. 88Th St. ,,5353341,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
2932,NAEYC_accreditation.csv, Kennedy-King College Child Development Lab Center,710 W. 65th Street Building Z ,60621,6025481,,,,,,,,,,,,,,,,,,http//kennedyking.ccc.edu,,,,09/30/12,27012,gpasillas@ccc.edu,,
953,CPS_Early_Childhood_Portal_scrape.csv, Harte,1556 E. 56Th St. ,,5350870,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
2702,ECE Chicago Find a School scrape.csv, Oriole Park,5424 N. Oketo ,60656,5341201,,,,,,Norwood Park,,,,,,,,,,,,,PFA-REG,,,,,,,
2991,NAEYC_accreditation.csv, Uptown Family Care Center,4520 North Beacon Street  ,60640,5613500,,,,,,,,,,,,,,,,,,http://www.hullhouse.org,,,,10/01/16,399517,pshowers@hullhouse.org,,
2791,ECE Chicago Find a School scrape.csv, St. Paul-Chaney Ford Child Care,4526 S. Wabash  ,60653,2858721,,,,,,Grand Boulevard,,,,,,,,,,,,,CP,,,,,,,
2873,NAEYC_accreditation.csv, Alphonsus Academy & Center for the Arts,1439 West Wellington  ,60657,3484629,,,,,,,,,,,,,,,,,,http://www.alphonsusacademy.org,,,,01/31/13,338338,mstanton@alphonsusacademy.org,,
2811,ECE Chicago Find a School scrape.csv," Thorp, J.N.",8914 S. Buffalo ,60617,5356250,,,,,,South Chicago,,,,,,,,,,,,,HS-HD,,,,,,,
3240,purple_binder_early_childhood.csv, Onward Neighborhood House - After School,2158 W Ohio Street ,60612,2437920,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
445,CPS_Early_Childhood_Portal_scrape.csv, Howard Area Early Childhood Center,7510 N. Ashland ,,7647610,,Community Partnerships,"8-11 Hours, varies by facility",,,,,,,,,,,,,,,,,,,,,,,
16,CPS_Early_Childhood_Portal_scrape.csv, Thresholds - Thresholds Mothers' Project,1110 W Belmont Ave ,,4723558,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
2065,DFSS_AgencySiteLies_2012.csv,"Chicago Public Schools Ryder, William H.",8716 S. Wallace Street ,60620,5353843,,,,,,,Chicago Public Schools,,,,,,,,,,,www.cps.edu,Paula Cottone,Mrs. Janice  Preston,,,,,,
2109,DFSS_AgencySiteLies_2012.csv,Chicago Youth Centers Rachel's 2,5242 W. North Ave ,60639,2371444,,,,,,,Chicago Youth Centers,,,,,,,,,,,www.chicagoyouthcenters.org,Harry Wells,Carol Quinn ,,,,,,
2329,ECE Chicago Find a School scrape.csv, Bethel New Life,1120 N. Lamon ,60651,6267760,,,,,,Austin,,,,,,,,,,,,,CP,,,,,,,
3206,purple_binder_early_childhood.csv, Little Angels Day Care Center,6407 N Maplewood ,60645,3389770,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
0,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,Child Care,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
624,CPS_Early_Childhood_Portal_scrape.csv, Chinese American Service League - Chinese American Service League,2141 S Tan Ct ,,7910418,,Head Start,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1796,chapin_dfss_providers_2011_070212.csv,HULL HOUSE ASSOCIATION ORR INFANT TODDLER PROGRAM,730 N PULASKI RD ,60624,8261090,,,,,,,HULL HOUSE ASSOCIATION,HUMBOLDT PARK,,,,,,No,Yes,No,,,,,,,,,,
1378,chapin_ounce_providers_2011_071112.csv, Community Service Center,"1343 N. California Ave
",60622,6452300,,,,,,,,Full Day/Full Year,"--
",54,,,,,,,,,,,,,,,,
2345,ECE Chicago Find a School scrape.csv, Brownell,6741 S. Michigan ,60637,5353030,,,,,,Greater Grand Crossing,,,,,,,,,,,,,PFA-REG,,,,,,,
3101,purple_binder_early_childhood.csv, Chicago Youth Centers - BBR Youth Center,1530 S Hamlin Avenue ,60623,7621140,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1205,CPS_Early_Childhood_Portal_scrape.csv, Hull House Association - LeClaire Hearst / Hull House Association,4340 S Lamon Ave ,,7671516,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1161,CPS_Early_Childhood_Portal_scrape.csv, Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman,1001 W Roosevelt Rd ,,9395115,,School Age,PART DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
1669,chapin_dfss_providers_2011_070212.csv,EL VALOR LITTLE TYKES II,1723 W 35TH STREET ,60609,5791791,,,,,,,EL VALOR,MCKINLEY PARK,,,,,Laura Gonzalez,Yes,No,No,,,,,,,,,,
3245,purple_binder_early_childhood.csv, Resurrection Child Care Center,7435 W Talcott Avenue ,60631,7925253,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1606,chapin_dfss_providers_2011_070212.csv,CHICAGO YOUTH CENTERS CUDDLE CARE ACADEMY,4800 S LAKE PARK AVE ,60615,2851114,,,,,,,CHICAGO YOUTH CENTERS,KENWOOD,,,,,,Yes,No,No,,,,,,,,,,
487,CPS_Early_Childhood_Portal_scrape.csv, El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California,2325 S California Ave ,,5231629,,Early Head Start,EXTENDED DAY,,,,,,,,,,,,,,,,,,,,,,,
1226,CPS_Early_Childhood_Portal_scrape.csv, Salvation Army - Temple / Salvation Army,1 N Ogden Ave ,,2262649,,State Pre-Kindergarten,HALF DAY/FULL DAY,,,,,,,,,,,,,,,,,,,,,,,
3279,purple_binder_early_childhood.csv, Trinity Resources Hope for Youth,5900 W Iowa Street ,60651,6260323,,,,,,,,,,,,,,,,,,,,,,,,,,Child Care
1667,chapin_dfss_providers_2011_070212.csv,EL VALOR LITTLE LEARNERS,5923 W 63RD STREET ,60638,5815541,,,,,,,EL VALOR,CLEARING,,,,,Marilyn Gonzalez,Yes,No,No,,,,,,,,,,
2108,DFSS_AgencySiteLies_2012.csv,Chicago Youth Centers Rachel's 1,3430 W. Roosevelt Rd ,60624,5330444,,,,,,,Chicago Youth Centers,,,,,,,,,,,www.chicagoyouthcenters.org,Harry Wells,Carol Quinn ,,,,,,
2926,NAEYC_accreditation.csv, Immaculate Conception,1431 N. North Park Avenue  ,60610,9440304,,,,,,,,,,,,,,,,,,,,,,05/31/15,601502,ksullivan@icsnorthpark.com,,
2020,DFSS_AgencySiteLies_2012.csv,"Chicago Public Schools Hurley, Edward N.",3849 W. 69th Place ,60629,5352068,,,,,,,Chicago Public Schools,,,,,,,,,,,www.cps.edu,Paula Cottone,Mrs. Dolores  Cupp,,,,,,
1139,CPS_Early_Childhood_Portal_scrape.csv, New Sullivan,8331 S. Mackinaw ,,5356585,,Prekindergarten For All,3-4 hours,,,,,,,,,,,,,,,,,,,,,,,
2181,DFSS_AgencySiteLies_2012.csv,Henry Booth House Allison's,34 E. 115th St. ,60628,8404502,,,,,,,Henry Booth House,,,,,,,,,,,www.henryboothhouse.org,Scott Perkins,Allison Perkins ,,,,,,
1510,chapin_dfss_providers_2011_070212.csv,"CHICAGO PUBLIC SCHOOLS GALE COMM. ACAD., STEPHEN F.",1631 W JONQUIL TERRACE ,60626,5342100,,,,,,,CHICAGO PUBLIC SCHOOLS,ROGERS PARK,,,,,Mr. Richard P.  Glass Jr.,Yes,No,No,,,,,,,,,,
2450,ECE Chicago Find a School scrape.csv, Daley,5024 S. Wolcott ,60609,5359091,,,,,,New City,,,,,,,,,,,,,HS-HD,,,,,,,
